Company name,Symbol,Currency,Market cap,P/E ratio,Return on assets (5 yr avg) (%),Return on assets (Recent yr) (%)
Pfizer Limited,500680,₹,100.08B,30.84,13.46,10.94
Mahanagar Gas Ltd,539957,₹,99.47B,21.1,15.42,15.75
V-Guard Industries Ltd.,532953,₹,98.35B,67.82,13.43,18.32
Minda Industries Ltd,532539,₹,98.17B,41.9,6.47,8.91
Kajaria Ceramics Limited,500233,₹,90.97B,37.91,12.74,12.82
Solar Industries India Ltd,532725,₹,88.92B,42.42,11.83,12.02
Schaeffler India Ltd,505790,₹,88.48B,37.23,11.47,12.06
IPCA Laboratories Ltd,524494,₹,85.86B,115.4,7.97,5.17
Akzo Nobel India Ltd,500710,₹,81.11B,38.36,9.91,12.57
Aegis Logistics Ltd,500003,₹,80.97B,45.14,7.84,10.16
DCM Shriram Ltd,523367,₹,78.84B,10.27,6.29,10.44
Finolex Industries Ltd,500940,₹,78.31B,30.28,8.56,13.19
Sheela Foam Ltd,540203,₹,78.03B,65.38,9.77,14.63
TTK Prestige Limited (Parent),517506,₹,77.75B,27.79,13.45,13.17
Vardhman Textiles Ltd.,502986,₹,75.46B,12.8,8.82,12.74
Dr. Lal PathLabs Ltd,539524,₹,73.62B,44.58,24.18,23.64
Relaxo Footwears Ltd,530517,₹,73.24B,51.87,11.85,11.91
Century Plyboards India Ltd,532548,₹,72.74B,131.84,10.42,14.02
Bajaj Corp Ltd,533229,₹,72.04B,59.58,32.11,37.77
Lakshmi Machine Works Ltd,500252,₹,70.48B,55.95,8.89,7.83
iGate Computer Systems Ltd,PATNI,₹,69.37B,17.41,13.12,9.7
Carborundum Universal Ltd,513375,₹,65.25B,33.82,7.03,9.7
Persistent Systems Limited,533179,₹,64.99B,20.36,15.55,13.5
Johnson Controls-Htch Ar Cndtng Ind Ltd,523398,₹,64.91B,75.91,5.02,7.33
"Jyothy Laboratories, Ltd.",532926,₹,63.96B,30.37,5.9,11.27
DB Corp Ltd,533151,₹,63.10B,19.03,16.71,18.55
