Company name,Symbol,Currency,Market cap,P/E ratio,Return on assets (5 yr avg) (%),Return on assets (Recent yr) (%)
Linc Pen and Plastics Ltd,531241,₹,3.65B,27.61,8.26,8.69
CMI Ltd,517330,₹,3.61B,8.43,17.91,7.53
Ram Ratna Wires Limited,522281,₹,3.57B,37.07,5.24,8.46
D Link India Ltd,533146,₹,3.43B,14.27,7.9,5.82
Gulshan Polyols Ltd,532457,₹,3.42B,17.26,8,5.92
TPL Plastech Limited,526582,₹,3.40B,29.95,6.62,8.12
CSL Finance Ltd,530067,₹,3.35B,18.66,10.3,12.68
Agarwal Industrial Corporation Ltd,531921,₹,3.35B,27.12,5.84,5.16
Ujaas Energy Ltd,533644,₹,3.35B,29.3,6.8,7.02
Rubfila International Ltd,500367,₹,3.34B,15.55,14,12.05
Gallantt Metal Limited,532726,₹,3.31B,7.55,6.67,5.17
KMC Speciality Hospitals India Ltd,524520,₹,3.23B,44.95,6.2,18.95
Indo National Ltd,504058,₹,3.14B,21.97,6.88,7.02
Pritika Auto Industries Ltd,539359,₹,3.10B,21.92,5.73,6.26
Rajoo Engineers Ltd,522257,₹,3.04B,22.48,5.88,7.68
Cupid Ltd,530843,₹,3.03B,15.78,24.27,33.48
Indo Amines Ltd,524648,₹,3.02B,33.06,5.38,7.99
Aditya Consumer Marketing Ltd,540146,₹,3.00B,169.17,5.97,5.36
